"","Forest ( ha )","Forest ( ha )","Forest ( ha )","Forest ( ha )"
"","1990","2000","2010","2020"
"Nepal","5672000.00","5780760.00","5962030.00","5962030.00"
"Netherlands (Kingdom of the)","345330.00","359500.00","373480.00","369500.00"
"New Caledonia (Desk study)","831130.00","837850.00","839020.00","838020.00"
"New Zealand","9372270.00","9850440.00","9848120.00","9892590.00"
"Nicaragua","6399320.00","5399320.00","4188150.00","3407530.00"
"Niger","1945000.00","1328100.00","1203900.00","1079700.00"
"Nigeria","26526090.00","24893040.00","23259980.00","21626950.00"
"Niue","18930.00","18830.00","18770.00","18870.00"
"Norfolk Island (Desk study)","490.00","490.00","490.00","490.00"
"North Macedonia (Desk study)","912000.00","957550.00","960430.00","1001490.00"
"Northern Mariana Islands","33610.00","31960.00","30320.00","24360.00"
"Norway","12132000.00","12113000.00","12102000.00","12180000.00"
"Oman","3000.00","3000.00","3000.00","2500.00"
"Pakistan","4986790.00","4511260.00","4093730.00","3725900.00"
"Palau","38150.00","39580.00","40560.00","41410.00"
"Palestine (Desk study)","9080.00","9080.00","9950.00","10140.00"
"Panama","4607400.00","4442140.00","4327990.00","4213840.00"
"Papua New Guinea","36399680.00","36277970.00","36178890.00","35855760.00"
"Paraguay","25545860.00","22991650.00","19570210.00","16102260.00"
"Peru","76448540.00","75297830.00","74049800.00","72330370.00"
"Philippines","7778810.00","7309260.00","6839720.00","7188590.00"
"Pitcairn (Desk study)","3500.00","3500.00","3500.00","3500.00"
"Poland","8882000.00","9059000.00","9329000.00","9483000.00"
"Portugal","3399000.00","3281000.00","3252000.00","3312000.00"
"Puerto Rico","320330.00","429150.00","491450.00","496330.00"
"Qatar (Desk study)","0.00","0.00","0.00","0.00"
"Republic of Korea","6551000.00","6476000.00","6387000.00","6287000.00"
"Republic of Moldova","325400.00","344400.00","374500.00","386500.00"
"Réunion","87950.00","90970.00","93990.00","98440.00"
"Romania","6371000.00","6366000.00","6515000.00","6929050.00"
"Russian Federation","808949900.00","809268500.00","815135600.00","815311600.00"
"Rwanda (Desk study)","317000.00","287000.00","265000.00","276000.00"
"Saint Barthélemy (Desk study)","170.00","170.00","170.00","170.00"
"Saint Helena (Desk study)","2000.00","2000.00","2000.00","2000.00"
"Saint Kitts and Nevis (Desk study)","11000.00","11000.00","11000.00","11000.00"
"Saint Lucia","21270.00","21010.00","20770.00","20770.00"
"Saint Pierre and Miquelon (Desk study)","1900.00","1670.00","1440.00","1220.00"
"Saint Vincent and the Grenadines","27540.00","28540.00","28540.00","28540.00"
"Saint-Martin (French Part) (Desk study)","1240.00","1240.00","1240.00","1240.00"
"Samoa","176130.00","171310.00","166490.00","161670.00"
"San Marino (Desk study)","1000.00","1000.00","1000.00","1000.00"
"Sao Tome and Principe","58620.00","58360.00","58100.00","51900.00"
"Saudi Arabia (Desk study)","977000.00","977000.00","977000.00","977000.00"
"Senegal","9303160.00","8853160.00","8468160.00","8068160.00"
"Serbia","2313000.00","2460000.00","2713000.00","2722650.00"
"Seychelles","33700.00","33700.00","33700.00","33700.00"
"Sierra Leone","3126700.00","2929430.00","2732160.00","2534880.00"
"Singapore","14830.00","17010.00","17740.00","15570.00"
"Sint Maarten (Dutch part) (Desk study)","370.00","370.00","370.00","370.00"
"Slovakia","1902480.00","1901410.00","1917910.00","1925900.00"
"Slovenia","1188000.00","1233000.00","1247000.00","1237830.00"
"Solomon Islands","2544910.00","2537600.00","2530280.00","2522970.00"
"Somalia","8282500.00","7515000.00","6747500.00","5980000.00"
"South Africa","18142090.00","17778090.00","17414090.00","17050090.00"
"South Sudan","7157000.00","7157000.00","7157000.00","7157000.00"
"Spain","13904660.00","17093930.00","18545340.00","18572170.00"
"Sri Lanka","2350330.00","2166420.00","2103620.00","2113020.00"
"Sudan","23570310.00","21826160.00","20081170.00","18359550.00"
"Suriname","15377630.00","15340870.00","15299860.00","15196290.00"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00"
"Sweden","28063000.00","28163000.00","28073000.00","27980000.00"
"Switzerland","1153500.00","1196180.00","1234720.00","1269110.00"
"Syrian Arab Republic","372080.00","432080.00","492080.00","522080.00"
"Tajikistan","408000.00","410000.00","410000.00","423800.00"
"Thailand","19361000.00","18998000.00","20073000.00","19873000.00"
"Timor-Leste","963100.00","949100.00","935100.00","921100.00"
"Togo","1361660.00","1268460.00","1238870.00","1209270.00"
"Tokelau (Desk study)","0.00","0.00","0.00","0.00"
"Tonga","8950.00","8950.00","8950.00","8950.00"
